q_id,query
1,Номер счета
2,Где узнать бик и счёт
3,Мне не приходят коды для подтверждения данной операции
4,"Оформила рассрочку ,но уведомлений никаких не пришло"
5,"Здравствуйте, когда смогу пользоваться кредитной картой?"
6,По истории платеж не отображается
7,"Здравствуйте, в рп. Нахабино отделение банка на улице Институская 00, можно закрыть бизнес счет?"
8,Узнать зарплатный счет 
9,"Подскажите, где я могу увидеть дату начала пользование кредитной карты?"
10,Не приходит смс
11,Не могу видеть на экране
12,Не могу войти в альфа онлайн по номеру телефона
13,Я заказала кредитную карту и мне одобрили почему мне не приходят СМС чтобы получить карту в банке
14,А как получить номер расчётного счёта
15,Мои счита
16,"Можно узнать, я вчера пополнила сумму на 0000 за кредит? Куда списался платеж ? За кредит или налог ?Что теперь нужно сделать ?"
17,Как мне узнать БИК и расчётный счёт
18,Прошу предоставить мне все мои счета
19,И я не вижу куда перешли деньги?
20,"Здравствуйте, отправил деньги с т банка на альфа банк, чтобы покрыть рассрочку (00000, чуть больше, на всякий случай). Подскажите, пожалуйста, получили ли деньги, а то в приложении не видно?"
21,"Доброй ночи! Скажите, что происходит??? Снова мне не приходят смс"
22,Не видно перевод в истории операций
23,Кредитный счет
24,Кэшбэк
25,"Здравствуйте! Я записалась в банк по времени, а меня не принимают. Что делать?"
26,хочу узнать свой БИК
27,И где кешбек обещанный? 
28,"не вижу,в истории, списания и пополнения карты за покупку в магазине zolla,(0000.00)"
29,"Здравствуйте, а могу ли я узнать что за операции последние 0 на моей карты были"
30,Не приходит смс для активации карты
31,"Здравствуйте . Могу ли я оформить кредит, чтоб деньги сразу поступили на карту в кабинет?"
32,Почему мне не приходят подтверждения по операции
33,Не пришла смс
34,Номер счета для получения зарплаты?
35,"Здравствуйте, как узнать расчетный счет?"
36,вот партнер одобрил заявку а где она?
37,Расчетный щет
38,"Расчётный счёт, где посмотреть?"
39,Не приходят уведомления по операциям по кред карте
40,Вот сейчас оплатила а как эти увидеть платежи? В истории нет их пока.
41,Кэш
42,Как найти БИК банка
43,Поступили на счет 00000 руб
44,сумма поступила 
45,Вы поможете оформить заявку?
46,Нет денег на кредитке
47,Здравствуйте а вот я себе сделал новую карту пластик и закажу сюда в приложении не вижу её почему б
48,как узнать привязана ли карта к этому номеру
49,отменить запись в отделение
50,Кредитный счёт
51,Расчетный счет
52,Сейчас оплачивала услугу в циан.  Почему не вижу в истории списание на 0 тысячи?
53,номер счета
54,Добрый день. Подскажите прошла ли у меня последняя оплата?
55,расчетный счет
56,Я вижу в мобильном приложении только одну карту
57,Как узнать свой расчетный счет
58,хочу проверить транзакцию
59,Не могу найти это пополнение
60,Как удалить свой личный кабинет
61,Нужен лицевой счет
62,"Добрый день, не приходят уведомления о зачислении средств"
63,"Здравствуйте, детскую карту ребёнку оформили, ребенку прислали перевод, почему не отображается сумма в личном кабинете?"
64,"Бик карты нужен, счёт и всё остальное"
65,Напиши номер моего ипотечного договора
66,Добрый день. Почему не приходят оповещения о поступлении денежных средств?
67,"Здесь через вас или в банк, в офис?"
68,"Здравствуйте! Вопрос по кешбэку. Я вчера оплачивала авиабилеты, общая стоимость была 00000 руб. Вчера была скидка -00% и мне должно вернуться кэшбеком 0000 рублей"
69,"Я 0 мая оплатила кредит, деньги пришли на счёт?"
70,Здравствуйте. Где посмотреть номер договора по карте?
71,Могу ли пользоваться средствами на карте до её получения
72,За продукты
73,Одобрили 0000 рублей 😆
74,Куда делась моя кредитная карта?
75,"Здравствуйте,я случайно удалила карту с лимитом 00000.А счёт остался можно мне обратно карту вернуть в приложение"
76,"Здравствуйте, хотела бы узнать откуда на счету кредитной карты деньги ?"
77,Почему кредит не всю сумму мне дали?
78,Можно ли подтверждение переводов не по смс сделать? А пуш или паролем для входа ?
79,Деньги поступили кредитная карта
80,У этого номера заблокирован счёт.
81,Не сменить а удалить
82,"Здравствуйте, куда пришли деньги с последнего пополнения"
83,"Внесла платёж, хочу узнать поступили ли средства."
84,"Здравствуйте, хочу узнать БИК БАНКА"
85,"Я брал деньги в рассрочку, оплатил досрочно. На счёту показывает 0000 р."
86,А где будит высвечивается
87,Нет я про другой кэшбек
88,Где посмотреть номер счёта карты
89,Я не вижу БИК банка
90,Добрый день! По какому адресу банк работает с физическими лицами? И меняют ли у вас тенге на рубли
91,А можно 0% сделать кэшбека этого на оплату картой а не стикером
92,У меня номер заблокирован
93,Добрый день  Мне нужна история переводов 0000-0000 год
94,"Можно ли получить код не пуш-уведомлением, а сообщением на телефон?"
95,Куда пропали кредитные карты?почему не могу их найти?
96,"Посмотрел историю операций, поступлений нет"
97,Я оформила 00.000
98,"Здравствуйте,как мне заплатить за детский сад если банк не может найти реквизиты садика"
99,для работы
100,Можно сделать ещё одну дебетовую карту но привязать другой номер телефона?
101,Почему деньги не появляются на балансе?
102,Мои счета
103,"Здравствуйте, на расчетный счёт пришла не вся сумма за вчерашний день"
104,Как привязать номер к карте чтоб мне делали перевод по номеру телефону
105,До какого она действует?
106,"Добрый день. Мне на счёт поступили детские пособия, выплата с материнского капитала! Где эти деньги, почему их нет на счёте?"
107,Мне пришло предложение. Максимально сумма 00000. Я оформил на 0 тысяч. А отображается 00000
108,Отделение митино время работы
109,Поступления  есть от меня?
110,Какие счета у меня действующие?
111,Откуда пришли деньги
112,Какой у меня лимит по кредитной карте 
113,Кешбек
114,Почему не вижу сколько денег на карте?
115,Не поступил на баланс 
116,"Подскажите, в какой период я пользовалась кредитной картой?"
117,То есть пользоваться можно после получения пластика?
118,Расчётный счёт
119,"Здравствуйте. У меня проблемы с уведомлениями. Уведомление о списаниях, пополнениях с банкомата и о зарплате приходят, а о переводах нет. С чем это может быть связано?"
120,Часы работы круглосуточно?
121,"Здравствуйте, как я могу узнать свой расчетный счет или сделать это?"
122,За последние 0 месяца
123,Добрый день. Не могу на экране найти кредитку с лимитом 00000
124,Бик и нн банка
125,Реквизиты проверены
126,"Здравствуйте, что за пополнение мне пришло? XXXXX от лояльности банка"
127,"Добрый день, я случайно перевела деньги на кредитную карту, на которой нет задолженности, могу ли я без комиссии перевести оттуда деньги?"
128,"Пишет что надо обновить номер телефона, но он у меня остался прежним"
129,как узнать свой расчетный счет
130,Что с платежами СБП?
131,Onetotrip
132,После перевыпуска карты меняются ли реквизиты счета
133,"Здравствуйте, мне уведомления не приходят как о пополнениях"
134,"Здравствуйте. Просьба отключить кредитную часть с моей карты, необходимо оставить только собственные средства"
135,мой расчетный счет
136,Работа
137,БИК банка где посмотреть
138,"Мне же надо номер карты вписать, а не счета"
139,"Подскажите пожалуйста я сейчас внесла кредит , как посмотреть что сумма внесена"
140,Скажите пожалуйста прошла ли последняя операция на 000 рублей
141,Добрый день.как найти платеж с сентября XXXXX
142,Как отвязать карту если привязал ее к другому телефону
143,"Добрый день, подскажите пожалуйста, когда у меня открыта кредитная карта?"
144,Не получается узнать срок действия
145,завтра по возможности подъеду в отделение Пушкино
146,Операцию
147,"Здравствуйте, я оформлял крилитную карту на 00.000 не на 00.000"
148,Проверить имеющиеся карты
149,Как узнать бик
150,нужен скан реквизитов
151,"Здравствуйте, на какой счет ушли 0.000. Хотела задолженность по карте оплатить"
152,Тот кто получил деньги и владелец телефона совершенно разные люди.
153,"Здравствуйте. Скажите, пожалуйста, почему на кредитной карте не отображается сумма лимита?"
154,По определённой операции
155,Как получить временный пароль
156,Картхолдер
157,"Мне нужен БИК Банка и Расчётный счет, ни где нету могу найти"
158,Как привязать номер ребёнка к детской карте
159,"Здравствуйте. Как установить пароль, если приложение просит ввести текущий, которого нет?"
160,Куда вносить сумму долга 
161,На детскую карту не приходят смс
162,Можно уточнить какие у меня карты
163,Номер карты подорожник указана не верно
164,В истории операций не отображается
165,Оспаривание операций
166,"Адрес: Кызыл, ул Ленина, д. 00 "
167,Маркетплейсы кэшбэк
168,Оформил заём когда он придет
169,"Подскажите, а 0 мая банк работает? Имею в виду, завтра поедем оформлять авто кредит, нам могут завтра на него ответ дать или нет?"
170,С какого числа действует счёт
171,"У меня приходит зарплата на карту альфа,уведомленийнет,почему"
172,Номер карты меняется ?
173,Как связаться с управляющем отделения в городе Туапсе
174,"получила карту в спешке в аэропорту, сейчас понимаю что она мне не нужна "
175,"Здравствуйте. Расскажите, пожалуйста, про карту Альфа-тревел? Она за границей действует для покупок/переводов итд. Или выгода только в приобретении туристических услуг?"
176,"Я в отделении подписывала бумаги, но денег нет"
177,Не могу найти счет кредита
178,Муж выпустил на меня карту но она не отображается в кабинете
